Frame,HousingNumber,GoProNumber,CameraSerialNumber,BarStartDate,BarEndDate,Active
CSIRO-SB01,1282,R01,C3441324988788,20220329T193050,20280329T193050,TRUE
CSIRO-SB01,1283,L01,C3441324991530,20220329T193050,20280329T193050,TRUE
CSIRO-SB02,1284,R02,C3441325014126,20220329T193050,20280329T193050,TRUE
CSIRO-SB02,1285,L02,C3441325027016,20220329T193050,20280329T193050,TRUE
CSIRO-SB03,1286,R03,C3441325027539,20220329T193050,20280329T193050,TRUE
CSIRO-SB03,1287,L03,C3441325040033,20220329T193050,20280329T193050,TRUE
CSIRO-SB04,1288,R04,C3441325047795,20220329T193050,20280329T193050,TRUE
CSIRO-SB04,1289,L04,C3441325092537,20220329T193050,20280329T193050,TRUE
CSIRO-SB05,1290,R05,C3441325098663,20220329T193050,20280329T193050,TRUE
CSIRO-SB05,1291,L05,C3441325101548,20220329T193050,20280329T193050,TRUE
CSIRO-SB06,1292,R06,C3441325102733,20220329T193050,20280329T193050,TRUE
CSIRO-SB06,1293,L06,C3441325104879,20220329T193050,20280329T193050,TRUE
CSIRO-SB07,1294,R07,C3441325104926,20220329T193050,20280329T193050,TRUE
CSIRO-SB07,1295,L07,C3441325107210,20220329T193050,20280329T193050,TRUE
CSIRO-SB08,1296,R08,C3441325108149,20220329T193050,20280329T193050,TRUE
CSIRO-SB08,1297,L08,C3441325108177,20220329T193050,20280329T193050,TRUE
CSIRO-SB09,1298,R09,C3441325111872,20220329T193050,20280329T193050,TRUE
CSIRO-SB09,1299,L09,C3441325112285,20220329T193050,20280329T193050,TRUE
CSIRO-SB10,1300,R10,C3441325115188,20220329T193050,20280329T193050,TRUE
CSIRO-SB10,1301,L10,C3441325115213,20220329T193050,20280329T193050,TRUE
CSIRO-SB11,1302,R11,C3441325199488,20220329T193050,20280329T193050,TRUE
CSIRO-SB11,1303,L11,C3441325206923,20220329T193050,20280329T193050,TRUE
CSIRO-SB12,1304,R12,C3441325211753,20220329T193050,20280329T193050,TRUE
CSIRO-SB12,1305,L12,C3441325222090,20220329T193050,20280329T193050,TRUE
CSIRO-SB13,1306,R13,C3441325256135,20220329T193050,20280329T193050,TRUE
CSIRO-SB13,1307,L13,C3441325256478,20220329T193050,20280329T193050,TRUE
CSIRO-SB14,1308,R14,C3441325261002,20220329T193050,20280329T193050,TRUE
CSIRO-SB14,1309,L14,C3441325275037,20220329T193050,20280329T193050,TRUE
CSIRO-SB15,1310,R15,C3441325464970,20220329T193050,20280329T193050,TRUE
CSIRO-SB15,1311,L15,C3441325495269,20220329T193050,20280329T193050,TRUE
CSIRO-SB16,1312,R16,C3441325501884,20220329T193050,20280329T193050,TRUE
CSIRO-SB16,1313,L15,C3441325506299,20220329T193050,20280329T193050,TRUE
